company_id,name,address,created_date,num_of_employee
241-52-7409,Top Cab,96082 John Walks New Tracybury  ME 24575,1971-09-27,749
696-03-9733,Taxicab Insurance Agency LLC,9317 Andres Skyway Apt. 058 West Andrew  NY 43594,1916-08-16,32
651-46-9146,Patriot Taxi Dba Peace Taxi Associat,10744 Johnson Summit Davefort  VT 01050,1983-05-02,858
270-14-8203,Taxi Affiliation Services Llc - Yell,893 Rodriguez Key Apt. 927 Steventown  GA 65992,1954-10-01,333
239-89-1092,2733 - 74600 Benny Jona,69858 Heather Corner Rebeccaland  MA 01543,2015-03-18,521
094-41-7936,5167 - 71969 5167 Taxi Inc,65587 Bradley Underpass Apt. 912 Benjaminstad  PW 16733,1973-08-27,143
140-55-9878,6574 - Babylon Express Inc.,83646 Victoria Ports Apt. 723 Lake Steve  WA 18592,1983-02-09,570
281-32-3133,Petani Cab Corp,3277 Christopher Flat Apt. 365 Williamshaven  TN 28116,1966-06-01,348
796-07-1394,Sun Taxi,0411 Tyler Throughway Suite 914 North Amystad  AR 99277,1937-02-12,6
174-19-0083,5 Star Taxi,42420 Thomas Plain Suite 642 Lake Alejandraberg  NY 28002,1913-07-20,797
727-80-1917,City Service,6022 Brown Harbor Donaldside  SD 86184,1918-10-07,271
718-09-5046,Choice Taxi Association Inc,914 Cathy Path Apt. 272 South Mark  NC 86590,1921-06-25,141
716-84-4777,Choice Taxi Association,PSC 1539  Box 4354 APO AP 05413,1998-09-16,957
218-48-5852,Medallion Leasin,7675 Wallace Passage Chambersfort  DE 32055,1966-12-23,430
093-93-4102,312 Medallion Management Corp,2337 John Shore Shermanfurt  TN 27933,1996-04-18,116
567-57-8660,Globe Taxi,61761 Jacob Ports Apt. 063 North Saratown  CO 02808,1967-11-23,533
051-83-8174,Flash Cab,103 Brandon Pike Brianchester  TX 31434,1909-05-19,674
208-43-5503,Chicago Independents,3013 Tanya Stream Smithburgh  AL 98412,1932-08-28,759
205-21-1535,Setare Inc,966 Baker Pine Apt. 438 East Jamesside  CA 83656,1976-09-21,912
630-67-3173,Chicago Taxicab,66914 Smith Shores Rosetown  SC 11586,1951-08-02,873
446-81-7456,Koam Taxi Association,300 James Garden Lake Annaside  TN 11432,1946-09-09,410
435-38-9642,Metro Jet Taxi A.,27485 Chelsea Unions Suite 800 Wandaborough  TN 73384,1951-03-18,143
331-35-7784,Tac - Yellow Cab Association,USS Murphy FPO AP 43881,1911-09-26,979
527-63-7101,3591 - 63480 Chuks Cab,906 John Plain West Rachelhaven  CT 95474,2010-04-26,171
269-09-5968,Star North Taxi Management Llc,632 Christian Villages Lake James  NM 36630,2012-12-03,75
606-71-6256,Tac - Checker Cab Dispatch,9334 Davis Forges Suite 549 Christinefort  NJ 09019,2020-09-14,334
050-59-9237,4787 - 56058 Reny Cab Co,2400 Graham Knolls North Kristen  FL 03335,1916-09-23,379
067-30-3408,Taxi Affiliation Services,32394 Thomas Meadows Apt. 954 Michaelberg  FL 20302,1935-10-12,559
194-45-1203,Taxicab Insurance Agency Llc,77861 Carter View Suite 948 Nicholasland  WA 81942,1944-07-29,403
700-40-0216,U Taxicab,6699 Dunlap Burgs Suite 359 New Davidbury  WA 01829,1911-12-08,765
332-31-6896,Blue Ribbon Taxi Association,048 Keith Crossing Lake Charlenefurt  VT 06912,1973-09-26,134
433-07-7669,Chicago City Taxi Association,196 Foley Road Danielfort  MP 00718,1992-06-09,67
476-95-7578,4053 - 40193 Adwar H. Nikola,957 Smith Tunnel Apt. 613 North Christina  MA 67936,1949-11-02,431
115-43-0819,3556 - 36214 RC Andrews Cab,872 Lisa Plaza Padillaburgh  SC 39910,1995-06-28,87
232-82-2772,4623 - 27290 Jay Kim,53953 Steven Forge New Adam  UT 17386,1960-02-24,848
